Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Net PnL %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %
1,Exit long,2026-02-16 07:15,short,1958.49,1.0211,1999.875405,-0.06,0.00,16.3,0.81,-14.49,-0.72,-0.06,0.00
1,Entry long,2026-02-16 05:45,long,1958.55,1.0211,1999.875405,-0.06,0.00,16.3,0.81,-14.49,-0.72,-0.06,0.00
2,Exit short,2026-02-16 08:00,long,1973.55,1.0211,1999.814139,-15.38,-0.77,0,0.00,-18.92,-0.95,-15.44,0.00
2,Entry short,2026-02-16 07:15,short,1958.49,1.0211,1999.814139,-15.38,-0.77,0,0.00,-18.92,-0.95,-15.44,0.00
3,Exit long,2026-02-16 11:00,short,1956.5,1.0134,1999.99557,-17.28,-0.86,7.75,0.39,-21.53,-1.08,-32.72,0.00
3,Entry long,2026-02-16 08:00,long,1973.55,1.0134,1999.99557,-17.28,-0.86,7.75,0.39,-21.53,-1.08,-32.72,0.00
4,Exit short,2026-02-16 12:30,long,1965.8,1.0222,1999.9343,-9.51,-0.48,7.91,0.40,-14.09,-0.70,-42.22,0.00
4,Entry short,2026-02-16 11:00,short,1956.5,1.0222,1999.9343,-9.51,-0.48,7.91,0.40,-14.09,-0.70,-42.22,0.00
5,Exit long,2026-02-16 13:15,short,1958.54,1.0173,1999.80834,-7.39,-0.37,8.51,0.43,-11.28,-0.56,-49.61,0.00
5,Entry long,2026-02-16 12:30,long,1965.8,1.0173,1999.80834,-7.39,-0.37,8.51,0.43,-11.28,-0.56,-49.61,0.00
6,Exit short,2026-02-16 14:45,long,1966.69,1.0211,1999.865194,-8.32,-0.42,5.75,0.29,-9.23,-0.46,-57.93,-0.01
6,Entry short,2026-02-16 13:15,short,1958.54,1.0211,1999.865194,-8.32,-0.42,5.75,0.29,-9.23,-0.46,-57.93,-0.01
7,Exit long,2026-02-16 19:15,short,1972.48,1.0169,1999.927061,5.89,0.29,27.11,1.36,-9.73,-0.49,-52.04,-0.01
7,Entry long,2026-02-16 14:45,long,1966.69,1.0169,1999.927061,5.89,0.29,27.11,1.36,-9.73,-0.49,-52.04,-0.01
8,Exit short,2026-02-16 20:45,long,2006.24,1.0139,1999.897472,-34.23,-1.71,6.43,0.32,-37.55,-1.88,-86.27,-0.01
8,Entry short,2026-02-16 19:15,short,1972.48,1.0139,1999.897472,-34.23,-1.71,6.43,0.32,-37.55,-1.88,-86.27,-0.01
9,Exit long,2026-02-16 21:30,short,1974.71,0.9968,1999.820032,-31.43,-1.57,17.21,0.86,-39.85,-1.99,-117.7,-0.01
9,Entry long,2026-02-16 20:45,long,2006.24,0.9968,1999.820032,-31.43,-1.57,17.21,0.86,-39.85,-1.99,-117.7,-0.01
10,Exit short,2026-02-17 00:30,long,1974.09,1.0128,1999.986288,0.63,0.03,37.95,1.90,-11.56,-0.58,-117.07,-0.01
10,Entry short,2026-02-16 21:30,short,1974.71,1.0128,1999.986288,0.63,0.03,37.95,1.90,-11.56,-0.58,-117.07,-0.01
11,Exit long,2026-02-17 03:30,short,1977.82,1.0131,1999.950579,3.78,0.19,14.5,0.72,-9.74,-0.49,-113.3,-0.01
11,Entry long,2026-02-17 00:30,long,1974.09,1.0131,1999.950579,3.78,0.19,14.5,0.72,-9.74,-0.49,-113.3,-0.01
12,Exit short,2026-02-17 04:15,long,1982.99,1.0112,1999.971584,-5.23,-0.26,6.8,0.34,-5.23,-0.26,-118.52,-0.01
12,Entry short,2026-02-17 03:30,short,1977.82,1.0112,1999.971584,-5.23,-0.26,6.8,0.34,-5.23,-0.26,-118.52,-0.01
13,Exit long,2026-02-17 11:00,short,1992.17,1.0085,1999.845415,9.26,0.46,25.81,1.29,-3.93,-0.20,-109.27,-0.01
13,Entry long,2026-02-17 04:15,long,1982.99,1.0085,1999.845415,9.26,0.46,25.81,1.29,-3.93,-0.20,-109.27,-0.01
14,Exit short,2026-02-17 16:15,long,1983.98,1.0039,1999.939463,8.22,0.41,27.56,1.38,-6.33,-0.32,-101.04,-0.01
14,Entry short,2026-02-17 11:00,short,1992.17,1.0039,1999.939463,8.22,0.41,27.56,1.38,-6.33,-0.32,-101.04,-0.01
15,Exit long,2026-02-17 17:00,short,1971.84,1.008,1999.85184,-12.24,-0.61,2.04,0.10,-14.3,-0.72,-113.28,-0.01
15,Entry long,2026-02-17 16:15,long,1983.98,1.008,1999.85184,-12.24,-0.61,2.04,0.10,-14.3,-0.72,-113.28,-0.01
16,Exit short,2026-02-17 20:45,long,1969.76,1.0142,1999.840128,2.11,0.11,10.27,0.51,-7.03,-0.35,-111.17,-0.01
16,Entry short,2026-02-17 17:00,short,1971.84,1.0142,1999.840128,2.11,0.11,10.27,0.51,-7.03,-0.35,-111.17,-0.01
17,Exit long,2026-02-17 23:00,short,1952.94,1.0153,1999.897328,-17.08,-0.85,33.44,1.67,-25.85,-1.29,-128.25,-0.01
17,Entry long,2026-02-17 20:45,long,1969.76,1.0153,1999.897328,-17.08,-0.85,33.44,1.67,-25.85,-1.29,-128.25,-0.01
18,Exit short,2026-02-18 00:30,long,1992.63,1.024,1999.81056,-40.64,-2.03,11.55,0.58,-58.91,-2.95,-168.89,-0.02
18,Entry short,2026-02-17 23:00,short,1952.94,1.024,1999.81056,-40.64,-2.03,11.55,0.58,-58.91,-2.95,-168.89,-0.02
19,Exit long,2026-02-18 01:15,short,1973.82,1.0036,1999.803468,-18.88,-0.94,0.73,0.04,-33.75,-1.69,-187.77,-0.02
19,Entry long,2026-02-18 00:30,long,1992.63,1.0036,1999.803468,-18.88,-0.94,0.73,0.04,-33.75,-1.69,-187.77,-0.02
20,Exit short,2026-02-18 02:45,long,1998.69,1.0132,1999.874424,-25.2,-1.26,20.05,1.00,-33.64,-1.68,-212.97,-0.02
20,Entry short,2026-02-18 01:15,short,1973.82,1.0132,1999.874424,-25.2,-1.26,20.05,1.00,-33.64,-1.68,-212.97,-0.02
21,Exit long,2026-02-18 07:15,short,1992.69,1.0006,1999.889214,-6,-0.30,16.65,0.83,-11.13,-0.56,-218.97,-0.02
21,Entry long,2026-02-18 02:45,long,1998.69,1.0006,1999.889214,-6,-0.30,16.65,0.83,-11.13,-0.56,-218.97,-0.02
22,Exit short,2026-02-18 11:00,long,1989.38,1.0036,1999.863684,3.32,0.17,24.1,1.20,-5.22,-0.26,-215.65,-0.02
22,Entry short,2026-02-18 07:15,short,1992.69,1.0036,1999.863684,3.32,0.17,24.1,1.20,-5.22,-0.26,-215.65,-0.02
23,Exit long,2026-02-18 15:30,short,2012.15,1.0053,1999.923714,22.89,1.14,25.45,1.27,-0.38,-0.02,-192.76,-0.02
23,Entry long,2026-02-18 11:00,long,1989.38,1.0053,1999.923714,22.89,1.14,25.45,1.27,-0.38,-0.02,-192.76,-0.02
24,Exit short,2026-02-18 16:15,long,2030.19,0.9939,1999.875885,-17.93,-0.90,1.46,0.07,-26.74,-1.34,-210.69,-0.02
24,Entry short,2026-02-18 15:30,short,2012.15,0.9939,1999.875885,-17.93,-0.90,1.46,0.07,-26.74,-1.34,-210.69,-0.02
25,Exit long,2026-02-18 18:30,short,2000.08,0.9851,1999.940169,-29.66,-1.48,0.67,0.03,-30.5,-1.52,-240.35,-0.02
25,Entry long,2026-02-18 16:15,long,2030.19,0.9851,1999.940169,-29.66,-1.48,0.67,0.03,-30.5,-1.52,-240.35,-0.02
26,Exit short,2026-02-18 23:45,long,1985.48,0.9999,1999.879992,14.6,0.73,45.78,2.29,-10.22,-0.51,-225.75,-0.02
26,Entry short,2026-02-18 18:30,short,2000.08,0.9999,1999.879992,14.6,0.73,45.78,2.29,-10.22,-0.51,-225.75,-0.02
