trade_no,entry_time,exit_time,dir,entry_px,exit_px,pnl
1,2025-05-27 00:45:00,2025-05-27 02:15:00,SHORT,2550.86,2540.46,10.4
2,2025-05-27 02:15:00,2025-05-27 03:00:00,LONG,2540.46,2557.8,17.34
3,2025-05-27 03:00:00,2025-05-27 03:45:00,SHORT,2557.8,2549.25,8.55
4,2025-05-27 03:45:00,2025-05-27 05:15:00,LONG,2549.25,2555.59,6.34
5,2025-05-27 05:15:00,2025-05-27 06:00:00,SHORT,2555.59,2600.41,-44.82
6,2025-05-27 06:00:00,2025-05-27 11:15:00,LONG,2600.41,2637.98,37.57
7,2025-05-27 11:15:00,2025-05-27 12:00:00,SHORT,2637.98,2639.69,-1.71
8,2025-05-27 12:00:00,2025-05-27 12:45:00,LONG,2639.69,2648.33,8.64
9,2025-05-27 12:45:00,2025-05-27 13:30:00,SHORT,2648.33,2656.85,-8.52
10,2025-05-27 13:30:00,2025-05-27 16:30:00,LONG,2656.85,2675.1,18.25
11,2025-05-27 16:30:00,2025-05-27 17:15:00,SHORT,2675.1,2679.5,-4.4
12,2025-05-27 17:15:00,2025-05-27 18:45:00,LONG,2679.5,2680.0,0.5
13,2025-05-27 18:45:00,2025-05-27 20:15:00,SHORT,2680.0,2683.3,-3.3
14,2025-05-27 20:15:00,2025-05-27 21:00:00,LONG,2683.3,2676.79,-6.51
15,2025-05-27 21:00:00,2025-05-27 22:30:00,SHORT,2676.79,2664.81,11.98
16,2025-05-27 22:30:00,2025-05-28 00:45:00,LONG,2664.81,2658.28,-6.53
17,2025-05-28 00:45:00,2025-05-28 03:00:00,SHORT,2658.28,2640.69,17.59
18,2025-05-28 03:00:00,2025-05-28 04:30:00,LONG,2640.69,2647.9,7.21
19,2025-05-28 04:30:00,2025-05-28 07:30:00,SHORT,2647.9,2640.31,7.59
20,2025-05-28 07:30:00,2025-05-28 08:15:00,LONG,2640.31,2639.6,-0.71
21,2025-05-28 08:15:00,2025-05-28 09:00:00,SHORT,2639.6,2636.46,3.14
22,2025-05-28 09:00:00,2025-05-28 09:45:00,LONG,2636.46,2626.72,-9.74
23,2025-05-28 09:45:00,2025-05-28 10:30:00,SHORT,2626.72,2635.99,-9.27
24,2025-05-28 10:30:00,2025-05-28 14:15:00,LONG,2635.99,2642.29,6.3
25,2025-05-28 14:15:00,2025-05-28 15:45:00,SHORT,2642.29,2626.9,15.39
26,2025-05-28 15:45:00,2025-05-28 18:45:00,LONG,2626.9,2636.17,9.27
27,2025-05-28 18:45:00,2025-05-28 21:00:00,SHORT,2636.17,2639.48,-3.31
28,2025-05-28 21:00:00,2025-05-28 22:30:00,LONG,2639.48,2644.94,5.46
29,2025-05-28 22:30:00,2025-05-28 23:15:00,SHORT,2644.94,2677.8,-32.86
30,2025-05-28 23:15:00,2025-05-29 01:30:00,LONG,2677.8,2707.1,29.3
31,2025-05-29 01:30:00,2025-05-29 03:00:00,SHORT,2707.1,2759.32,-52.22
32,2025-05-29 03:00:00,2025-05-29 03:45:00,LONG,2759.32,2762.5,3.18
33,2025-05-29 03:45:00,2025-05-29 07:30:00,SHORT,2762.5,2729.67,32.83
34,2025-05-29 07:30:00,2025-05-29 08:15:00,LONG,2729.67,2721.19,-8.48
35,2025-05-29 08:15:00,2025-05-29 09:00:00,SHORT,2721.19,2720.18,1.01
36,2025-05-29 09:00:00,2025-05-29 10:30:00,LONG,2720.18,2729.25,9.07
37,2025-05-29 10:30:00,2025-05-29 15:00:00,SHORT,2729.25,2664.15,65.1
38,2025-05-29 15:00:00,2025-05-29 15:45:00,LONG,2664.15,2643.68,-20.47
39,2025-05-29 15:45:00,2025-05-29 18:00:00,SHORT,2643.68,2670.5,-26.82
40,2025-05-29 18:00:00,2025-05-29 18:45:00,LONG,2670.5,2649.9,-20.6
41,2025-05-29 18:45:00,2025-05-29 20:15:00,SHORT,2649.9,2653.1,-3.2
42,2025-05-29 20:15:00,2025-05-29 21:00:00,LONG,2653.1,2645.5,-7.6
43,2025-05-29 21:00:00,2025-05-29 21:45:00,SHORT,2645.5,2660.9,-15.4
44,2025-05-29 21:45:00,2025-05-29 23:15:00,LONG,2660.9,2634.83,-26.07
45,2025-05-29 23:15:00,2025-05-30 01:30:00,SHORT,2634.83,2605.85,28.98
46,2025-05-30 01:30:00,2025-05-30 04:30:00,LONG,2605.85,2632.59,26.74
47,2025-05-30 04:30:00,2025-05-30 05:15:00,SHORT,2632.59,2636.7,-4.11
48,2025-05-30 05:15:00,2025-05-30 06:45:00,LONG,2636.7,2620.3,-16.4
49,2025-05-30 06:45:00,2025-05-30 07:30:00,SHORT,2620.3,2626.57,-6.27
50,2025-05-30 07:30:00,2025-05-30 08:15:00,LONG,2626.57,2622.01,-4.56
51,2025-05-30 08:15:00,2025-05-30 10:30:00,SHORT,2622.01,2614.51,7.5
52,2025-05-30 10:30:00,2025-05-30 13:30:00,LONG,2614.51,2594.45,-20.06
53,2025-05-30 13:30:00,2025-05-30 15:00:00,SHORT,2594.45,2606.83,-12.38
54,2025-05-30 15:00:00,2025-05-30 15:45:00,LONG,2606.83,2598.21,-8.62
55,2025-05-30 15:45:00,2025-05-30 18:00:00,SHORT,2598.21,2556.69,41.52
56,2025-05-30 18:00:00,2025-05-30 20:15:00,LONG,2556.69,2572.62,15.93
57,2025-05-30 20:15:00,2025-05-31 00:00:00,SHORT,2572.62,2526.78,45.84
58,2025-05-31 00:00:00,2025-05-31 01:30:00,LONG,2526.78,2497.91,-28.87
59,2025-05-31 01:30:00,2025-05-31 02:15:00,SHORT,2497.91,2504.95,-7.04
60,2025-05-31 02:15:00,2025-05-31 03:00:00,LONG,2504.95,2496.04,-8.91
61,2025-05-31 03:00:00,2025-05-31 03:45:00,SHORT,2496.04,2513.98,-17.94
62,2025-05-31 03:45:00,2025-05-31 05:15:00,LONG,2513.98,2518.19,4.21
63,2025-05-31 05:15:00,2025-05-31 06:45:00,SHORT,2518.19,2521.7,-3.51
64,2025-05-31 06:45:00,2025-05-31 07:30:00,LONG,2521.7,2520.58,-1.12
65,2025-05-31 07:30:00,2025-05-31 09:00:00,SHORT,2520.58,2525.91,-5.33
66,2025-05-31 09:00:00,2025-05-31 09:45:00,LONG,2525.91,2523.25,-2.66
67,2025-05-31 09:45:00,2025-05-31 12:00:00,SHORT,2523.25,2530.3,-7.05
68,2025-05-31 12:00:00,2025-05-31 15:45:00,LONG,2530.3,2536.3,6.0
69,2025-05-31 15:45:00,2025-05-31 16:30:00,SHORT,2536.3,2540.33,-4.03
70,2025-05-31 16:30:00,2025-05-31 17:15:00,LONG,2540.33,2535.09,-5.24
71,2025-05-31 17:15:00,2025-05-31 18:45:00,SHORT,2535.09,2539.73,-4.64
72,2025-05-31 18:45:00,2025-05-31 20:15:00,LONG,2539.73,2540.0,0.27
73,2025-05-31 20:15:00,2025-05-31 21:00:00,SHORT,2540.0,2541.08,-1.08
74,2025-05-31 21:00:00,2025-05-31 22:30:00,LONG,2541.08,2538.59,-2.49
75,2025-05-31 22:30:00,2025-05-31 23:15:00,SHORT,2538.59,2534.34,4.25
76,2025-05-31 23:15:00,2025-06-01 00:00:00,LONG,2534.34,2520.44,-13.9
77,2025-06-01 00:00:00,2025-06-01 03:45:00,SHORT,2520.44,2513.3,7.14
78,2025-06-01 03:45:00,2025-06-01 06:00:00,LONG,2513.3,2516.84,3.54
79,2025-06-01 06:00:00,2025-06-01 10:30:00,SHORT,2516.84,2490.43,26.41
80,2025-06-01 10:30:00,2025-06-01 12:00:00,LONG,2490.43,2498.48,8.05
81,2025-06-01 12:00:00,2025-06-01 13:30:00,SHORT,2498.48,2496.63,1.85
82,2025-06-01 13:30:00,2025-06-01 17:15:00,LONG,2496.63,2543.89,47.26
83,2025-06-01 17:15:00,2025-06-01 19:30:00,SHORT,2543.89,2519.99,23.9
84,2025-06-01 19:30:00,2025-06-01 21:00:00,LONG,2519.99,2531.41,11.42
85,2025-06-01 21:00:00,2025-06-01 21:45:00,SHORT,2531.41,2539.4,-7.99
86,2025-06-01 21:45:00,2025-06-01 22:30:00,LONG,2539.4,2538.45,-0.95
87,2025-06-01 22:30:00,2025-06-01 23:15:00,SHORT,2538.45,2538.0,0.45
88,2025-06-01 23:15:00,2025-06-02 00:45:00,LONG,2538.0,2534.32,-3.68
89,2025-06-02 00:45:00,2025-06-02 05:15:00,SHORT,2534.32,2494.63,39.69
90,2025-06-02 05:15:00,2025-06-02 09:00:00,LONG,2494.63,2482.39,-12.24
91,2025-06-02 09:00:00,2025-06-02 11:15:00,SHORT,2482.39,2483.0,-0.61
92,2025-06-02 11:15:00,2025-06-02 12:00:00,LONG,2483.0,2484.66,1.66
93,2025-06-02 12:00:00,2025-06-02 12:45:00,SHORT,2484.66,2497.69,-13.03
94,2025-06-02 12:45:00,2025-06-02 16:30:00,LONG,2497.69,2538.22,40.53
95,2025-06-02 16:30:00,2025-06-02 18:00:00,SHORT,2538.22,2551.36,-13.14
96,2025-06-02 18:00:00,2025-06-02 18:45:00,LONG,2551.36,2544.47,-6.89
97,2025-06-02 18:45:00,2025-06-02 20:15:00,SHORT,2544.47,2541.99,2.48
98,2025-06-02 20:15:00,2025-06-02 21:00:00,LONG,2541.99,2546.5,4.51
99,2025-06-02 21:00:00,2025-06-02 21:45:00,SHORT,2546.5,2560.55,-14.05
100,2025-06-02 21:45:00,2025-06-03 03:00:00,LONG,2560.55,2597.8,37.25
101,2025-06-03 03:00:00,2025-06-03 05:15:00,SHORT,2597.8,2603.66,-5.86
102,2025-06-03 05:15:00,2025-06-03 07:30:00,LONG,2603.66,2614.02,10.36
103,2025-06-03 07:30:00,2025-06-03 09:00:00,SHORT,2614.02,2604.63,9.39
104,2025-06-03 09:00:00,2025-06-03 12:00:00,LONG,2604.63,2608.0,3.37
105,2025-06-03 12:00:00,2025-06-03 12:45:00,SHORT,2608.0,2609.76,-1.76
106,2025-06-03 12:45:00,2025-06-03 14:15:00,LONG,2609.76,2633.02,23.26
107,2025-06-03 14:15:00,2025-06-03 15:00:00,SHORT,2633.02,2637.83,-4.81
108,2025-06-03 15:00:00,2025-06-03 15:45:00,LONG,2637.83,2623.58,-14.25
109,2025-06-03 15:45:00,2025-06-03 17:15:00,SHORT,2623.58,2623.77,-0.19
110,2025-06-03 17:15:00,2025-06-03 20:15:00,LONG,2623.77,2604.32,-19.45
111,2025-06-03 20:15:00,2025-06-03 22:30:00,SHORT,2604.32,2608.04,-3.72
112,2025-06-03 22:30:00,2025-06-04 00:00:00,LONG,2608.04,2594.17,-13.87
113,2025-06-04 00:00:00,2025-06-04 01:30:00,SHORT,2594.17,2612.26,-18.09
114,2025-06-04 01:30:00,2025-06-04 03:00:00,LONG,2612.26,2624.25,11.99
115,2025-06-04 03:00:00,2025-06-04 03:45:00,SHORT,2624.25,2627.9,-3.65
116,2025-06-04 03:45:00,2025-06-04 04:30:00,LONG,2627.9,2627.43,-0.47
117,2025-06-04 04:30:00,2025-06-04 05:15:00,SHORT,2627.43,2622.41,5.02
118,2025-06-04 05:15:00,2025-06-04 06:00:00,LONG,2622.41,2626.16,3.75
119,2025-06-04 06:00:00,2025-06-04 06:45:00,SHORT,2626.16,2629.32,-3.16
120,2025-06-04 06:45:00,2025-06-04 07:30:00,LONG,2629.32,2624.81,-4.51
121,2025-06-04 07:30:00,2025-06-04 08:15:00,SHORT,2624.81,2639.25,-14.44
122,2025-06-04 08:15:00,2025-06-04 10:30:00,LONG,2639.25,2638.84,-0.41
123,2025-06-04 10:30:00,2025-06-04 15:00:00,SHORT,2638.84,2645.54,-6.7
124,2025-06-04 15:00:00,2025-06-04 16:30:00,LONG,2645.54,2655.23,9.69
125,2025-06-04 16:30:00,2025-06-04 18:45:00,SHORT,2655.23,2629.11,26.12
126,2025-06-04 18:45:00,2025-06-04 19:30:00,LONG,2629.11,2631.0,1.89
127,2025-06-04 19:30:00,2025-06-04 21:45:00,SHORT,2631.0,2618.75,12.25
128,2025-06-04 21:45:00,2025-06-04 22:30:00,LONG,2618.75,2612.89,-5.86
129,2025-06-04 22:30:00,2025-06-05 00:45:00,SHORT,2612.89,2611.7,1.19
130,2025-06-05 00:45:00,2025-06-05 01:30:00,LONG,2611.7,2608.46,-3.24
131,2025-06-05 01:30:00,2025-06-05 02:15:00,SHORT,2608.46,2613.27,-4.81
132,2025-06-05 02:15:00,2025-06-05 05:15:00,LONG,2613.27,2621.49,8.22
133,2025-06-05 05:15:00,2025-06-05 07:30:00,SHORT,2621.49,2606.11,15.38
134,2025-06-05 07:30:00,2025-06-05 08:15:00,LONG,2606.11,2608.61,2.5
135,2025-06-05 08:15:00,2025-06-05 09:00:00,SHORT,2608.61,2607.69,0.92
136,2025-06-05 09:00:00,2025-06-05 10:30:00,LONG,2607.69,2591.6,-16.09
137,2025-06-05 10:30:00,2025-06-05 12:00:00,SHORT,2591.6,2619.57,-27.97
138,2025-06-05 12:00:00,2025-06-05 14:15:00,LONG,2619.57,2582.5,-37.07
