trade_no,entry_time,exit_time,direction,entry_price,exit_price,ideal_exit,pnl_pct,pnl_usd,fee_usd,slip_usd,equity,leverage_pnl,cum_pnl,return_pct,dd_pct,month
1,2025-05-22 19:30:00,2025-05-22 19:30:00,LONG,2579.96,2645.88,2646.41,2.555,50.95,1.65,0.53,737.15,7.67%,50.95,7.42,0.0,2025-05
2,2025-05-22 22:00:00,2025-05-22 22:00:00,SHORT,2645.88,2643.98,2643.45,0.072,-0.18,1.77,0.53,736.97,0.22%,50.77,7.4,0.02,2025-05
3,2025-05-22 22:45:00,2025-05-22 22:45:00,LONG,2643.98,2638.74,2639.27,-0.198,-6.15,1.77,0.53,730.82,-0.59%,44.62,6.5,0.86,2025-05
4,2025-05-22 23:00:00,2025-05-22 23:00:00,SHORT,2638.74,2644.5,2643.97,-0.218,-6.54,1.75,0.53,724.29,-0.65%,38.08,5.55,1.74,2025-05
5,2025-05-23 06:00:00,2025-05-23 06:00:00,LONG,2644.5,2684.09,2684.62,1.497,30.79,1.74,0.54,755.07,4.49%,68.87,10.04,0.0,2025-05
6,2025-05-23 09:15:00,2025-05-23 09:15:00,SHORT,2684.09,2682.63,2682.1,0.054,-0.59,1.81,0.54,754.49,0.16%,68.28,9.95,0.08,2025-05
7,2025-05-23 10:00:00,2025-05-23 10:00:00,LONG,2682.63,2675.58,2676.11,-0.263,-7.76,1.81,0.54,746.72,-0.79%,60.52,8.82,1.11,2025-05
8,2025-05-24 04:30:00,2025-05-24 04:30:00,SHORT,2675.58,2558.52,2558.0,4.375,96.22,1.79,0.51,842.94,13.13%,156.74,22.84,0.0,2025-05
9,2025-05-24 05:00:00,2025-05-24 05:00:00,LONG,2558.52,2553.78,2554.29,-0.185,-6.71,2.02,0.51,836.24,-0.56%,150.03,21.87,0.79,2025-05
10,2025-05-24 07:00:00,2025-05-24 07:00:00,SHORT,2553.78,2554.56,2554.05,-0.031,-2.78,2.01,0.51,833.46,-0.09%,147.25,21.46,1.12,2025-05
11,2025-05-24 07:30:00,2025-05-24 07:30:00,LONG,2554.56,2551.79,2552.3,-0.109,-4.72,2.0,0.51,828.74,-0.33%,142.53,20.77,1.68,2025-05
12,2025-05-24 08:00:00,2025-05-24 08:00:00,SHORT,2551.79,2554.09,2553.57,-0.09,-4.23,1.99,0.51,824.51,-0.27%,138.3,20.16,2.19,2025-05
13,2025-05-24 08:15:00,2025-05-24 08:15:00,LONG,2554.09,2546.99,2547.5,-0.278,-8.85,1.98,0.51,815.66,-0.83%,129.45,18.87,3.24,2025-05
14,2025-05-24 09:15:00,2025-05-24 09:15:00,SHORT,2546.99,2560.46,2559.95,-0.529,-14.9,1.96,0.51,800.76,-1.59%,114.55,16.69,5.0,2025-05
15,2025-05-24 09:45:00,2025-05-24 09:45:00,LONG,2560.46,2553.47,2553.98,-0.273,-8.48,1.92,0.51,792.28,-0.82%,106.07,15.46,6.01,2025-05
16,2025-05-24 10:15:00,2025-05-24 10:15:00,SHORT,2553.47,2558.12,2557.61,-0.182,-6.23,1.9,0.51,786.05,-0.55%,99.84,14.55,6.75,2025-05
17,2025-05-24 13:30:00,2025-05-24 13:30:00,LONG,2558.12,2550.54,2551.05,-0.296,-8.88,1.89,0.51,777.17,-0.89%,90.96,13.26,7.8,2025-05
