trade_no,entry_time,exit_time,dir,entry_px,exit_px,pnl
1,2025-05-26 20:30:00,2025-05-27 01:00:00,LONG,2551.29,2544.28,-7.01
2,2025-05-27 01:00:00,2025-05-27 03:00:00,SHORT,2544.28,2541.76,2.52
3,2025-05-27 03:00:00,2025-05-27 23:15:00,LONG,2541.76,2653.24,111.48
4,2025-05-27 23:15:00,2025-05-28 11:30:00,SHORT,2653.24,2650.09,3.14
5,2025-05-28 11:30:00,2025-05-28 14:00:00,LONG,2650.09,2645.54,-4.56
6,2025-05-28 14:00:00,2025-05-28 17:00:00,SHORT,2645.54,2647.79,-2.25
7,2025-05-28 17:00:00,2025-05-28 18:45:00,LONG,2647.79,2642.43,-5.36
8,2025-05-28 18:45:00,2025-05-28 19:00:00,SHORT,2642.43,2645.26,-2.84
9,2025-05-28 19:00:00,2025-05-28 19:30:00,LONG,2645.26,2628.05,-17.21
10,2025-05-28 19:30:00,2025-05-28 21:45:00,SHORT,2628.05,2653.99,-25.94
11,2025-05-28 21:45:00,2025-05-28 22:15:00,LONG,2653.99,2639.32,-14.66
12,2025-05-28 22:15:00,2025-05-28 23:00:00,SHORT,2639.32,2656.35,-17.02
13,2025-05-28 23:00:00,2025-05-29 11:30:00,LONG,2656.35,2719.88,63.53
14,2025-05-29 11:30:00,2025-05-30 05:30:00,SHORT,2719.88,2642.89,76.98
15,2025-05-30 05:30:00,2025-05-30 06:15:00,LONG,2642.89,2630.59,-12.3
16,2025-05-30 06:15:00,2025-05-31 10:00:00,SHORT,2630.59,2529.07,101.52
17,2025-05-31 10:00:00,2025-05-31 10:30:00,LONG,2529.07,2514.26,-14.81
18,2025-05-31 10:30:00,2025-05-31 12:00:00,SHORT,2514.26,2526.02,-11.75
19,2025-05-31 12:00:00,2025-05-31 17:45:00,LONG,2526.02,2530.55,4.53
20,2025-05-31 17:45:00,2025-05-31 18:00:00,SHORT,2530.55,2532.63,-2.08
21,2025-05-31 18:00:00,2025-05-31 22:45:00,LONG,2532.63,2534.19,1.56
22,2025-05-31 22:45:00,2025-05-31 23:00:00,SHORT,2534.19,2535.44,-1.25
23,2025-05-31 23:00:00,2025-06-01 00:00:00,LONG,2535.44,2520.83,-14.61
24,2025-06-01 00:00:00,2025-06-01 14:15:00,SHORT,2520.83,2510.15,10.68
25,2025-06-01 14:15:00,2025-06-01 18:30:00,LONG,2510.15,2508.19,-1.95
26,2025-06-01 18:30:00,2025-06-01 18:45:00,SHORT,2508.19,2511.31,-3.11
27,2025-06-01 18:45:00,2025-06-02 02:00:00,LONG,2511.31,2520.88,9.57
28,2025-06-02 02:00:00,2025-06-02 13:15:00,SHORT,2520.88,2499.78,21.09
29,2025-06-02 13:15:00,2025-06-03 11:15:00,LONG,2499.78,2609.83,110.05
30,2025-06-03 11:15:00,2025-06-03 13:00:00,SHORT,2609.83,2615.52,-5.69
31,2025-06-03 13:00:00,2025-06-03 16:15:00,LONG,2615.52,2609.64,-5.89
32,2025-06-03 16:15:00,2025-06-03 17:00:00,SHORT,2609.64,2614.84,-5.2
33,2025-06-03 17:00:00,2025-06-03 18:00:00,LONG,2614.84,2611.01,-3.83
34,2025-06-03 18:00:00,2025-06-03 19:00:00,SHORT,2611.01,2624.86,-13.85
35,2025-06-03 19:00:00,2025-06-03 20:15:00,LONG,2624.86,2613.41,-11.45
36,2025-06-03 20:15:00,2025-06-04 01:15:00,SHORT,2613.41,2620.0,-6.59
37,2025-06-04 01:15:00,2025-06-04 01:30:00,LONG,2620.0,2606.78,-13.21
38,2025-06-04 01:30:00,2025-06-04 03:00:00,SHORT,2606.78,2617.37,-10.58
39,2025-06-04 03:00:00,2025-06-04 12:15:00,LONG,2617.37,2627.59,10.22
40,2025-06-04 12:15:00,2025-06-04 14:45:00,SHORT,2627.59,2629.03,-1.44
41,2025-06-04 14:45:00,2025-06-04 18:45:00,LONG,2629.03,2632.93,3.9
42,2025-06-04 18:45:00,2025-06-05 02:30:00,SHORT,2632.93,2618.84,14.09
43,2025-06-05 02:30:00,2025-06-05 05:30:00,LONG,2618.84,2616.54,-2.3
44,2025-06-05 05:30:00,2025-06-05 12:00:00,SHORT,2616.54,2613.86,2.67
45,2025-06-05 12:00:00,2025-06-05 13:45:00,LONG,2613.86,2604.18,-9.68
46,2025-06-05 13:45:00,2025-06-06 08:00:00,SHORT,2604.18,2460.79,143.38
47,2025-06-06 08:00:00,2025-06-06 19:45:00,LONG,2460.79,2487.09,26.3
48,2025-06-06 19:45:00,2025-06-06 20:00:00,SHORT,2487.09,2490.44,-3.35
49,2025-06-06 20:00:00,2025-06-06 21:00:00,LONG,2490.44,2491.84,1.4
50,2025-06-06 21:00:00,2025-06-06 21:30:00,SHORT,2491.84,2497.82,-5.98
51,2025-06-06 21:30:00,2025-06-06 21:45:00,LONG,2497.82,2490.98,-6.84
52,2025-06-06 21:45:00,2025-06-07 03:15:00,SHORT,2490.98,2491.99,-1.01
53,2025-06-07 03:15:00,2025-06-07 04:00:00,LONG,2491.99,2482.62,-9.38
54,2025-06-07 04:00:00,2025-06-07 04:30:00,SHORT,2482.62,2488.6,-5.99
55,2025-06-07 04:30:00,2025-06-07 08:45:00,LONG,2488.6,2483.71,-4.89
56,2025-06-07 08:45:00,2025-06-07 09:00:00,SHORT,2483.71,2487.22,-3.51
57,2025-06-07 09:00:00,2025-06-08 01:00:00,LONG,2487.22,2513.57,26.35
58,2025-06-08 01:00:00,2025-06-08 01:30:00,SHORT,2513.57,2516.92,-3.35
59,2025-06-08 01:30:00,2025-06-08 02:00:00,LONG,2516.92,2514.28,-2.64
60,2025-06-08 02:00:00,2025-06-08 08:00:00,SHORT,2514.28,2517.13,-2.85
61,2025-06-08 08:00:00,2025-06-08 09:00:00,LONG,2517.13,2513.5,-3.63
62,2025-06-08 09:00:00,2025-06-08 11:30:00,SHORT,2513.5,2516.33,-2.82
63,2025-06-08 11:30:00,2025-06-08 12:15:00,LONG,2516.33,2509.13,-7.2
64,2025-06-08 12:15:00,2025-06-08 13:30:00,SHORT,2509.13,2514.16,-5.03
