TV: 2026-05-23 22:13:00 -> 2026-05-30 20:51:00, 1032 rows
TV entries: 516
Fetching Binance data: 2026-05-22 22:13:00 -> 2026-05-31 20:51:00
拉取 ETH/USDT:USDT 1m K线, 最近 30 天...
  获取 43201 根K线, 2026-04-30 12:58:00 → 2026-05-30 12:58:00
Binance bars in range: 10966
Python trades: 122

TV entry               Dir    Python entry           Diff(min)  Match
----------------------------------------------------------------------
2026-05-23 22:13:00    LONG   2026-05-23 23:15:00    +62.0  OFF(62m)
2026-05-23 23:22:00    SHORT  2026-05-24 00:00:00    +38.0  OFF(38m)
2026-05-23 23:52:00    LONG   2026-05-23 23:15:00    +37.0  OFF(37m)
2026-05-24 00:13:00    SHORT  2026-05-24 00:00:00    +13.0  OFF(13m)
2026-05-24 00:22:00    LONG   2026-05-23 23:15:00    +67.0  OFF(67m)
2026-05-24 00:28:00    SHORT  2026-05-24 00:00:00    +28.0  OFF(28m)
2026-05-24 00:34:00    LONG   2026-05-23 23:15:00    +79.0  OFF(79m)
2026-05-24 00:58:00    SHORT  2026-05-24 00:00:00    +58.0  OFF(58m)
2026-05-24 01:19:00    LONG   2026-05-24 02:15:00    +56.0  OFF(56m)
2026-05-24 01:25:00    SHORT  2026-05-24 00:00:00    +85.0  OFF(85m)
2026-05-24 01:31:00    LONG   2026-05-24 02:15:00    +44.0  OFF(44m)
2026-05-24 01:40:00    SHORT  2026-05-24 03:00:00    +80.0  OFF(80m)
2026-05-24 01:55:00    LONG   2026-05-24 02:15:00    +20.0  OFF(20m)
2026-05-24 02:28:00    SHORT  2026-05-24 03:00:00    +32.0  OFF(32m)
2026-05-24 02:37:00    LONG   2026-05-24 02:15:00    +22.0  OFF(22m)
2026-05-24 02:49:00    SHORT  2026-05-24 03:00:00    +11.0  OFF(11m)
2026-05-24 03:19:00    LONG   2026-05-24 02:15:00    +64.0  OFF(64m)
2026-05-24 03:40:00    SHORT  2026-05-24 03:00:00    +40.0  OFF(40m)
2026-05-24 03:52:00    LONG   2026-05-24 05:15:00    +83.0  OFF(83m)
2026-05-24 03:58:00    SHORT  2026-05-24 03:00:00    +58.0  OFF(58m)
2026-05-24 04:04:00    LONG   2026-05-24 05:15:00    +71.0  OFF(71m)
2026-05-24 04:10:00    SHORT  2026-05-24 03:00:00    +70.0  OFF(70m)
2026-05-24 04:16:00    LONG   2026-05-24 05:15:00    +59.0  OFF(59m)
2026-05-24 04:28:00    SHORT  2026-05-24 03:00:00    +88.0  OFF(88m)
2026-05-24 04:37:00    LONG   2026-05-24 05:15:00    +38.0  OFF(38m)
2026-05-24 05:07:00    SHORT  2026-05-24 06:00:00    +53.0  OFF(53m)
2026-05-24 05:55:00    LONG   2026-05-24 05:15:00    +40.0  OFF(40m)
2026-05-24 06:16:00    SHORT  2026-05-24 06:00:00    +16.0  OFF(16m)
2026-05-24 06:46:00    LONG   2026-05-24 06:45:00    +1.0  OK
2026-05-24 07:28:00    SHORT  2026-05-24 08:15:00    +47.0  OFF(47m)
2026-05-24 07:37:00    LONG   2026-05-24 06:45:00    +52.0  OFF(52m)
2026-05-24 07:46:00    SHORT  2026-05-24 08:15:00    +29.0  OFF(29m)
2026-05-24 08:34:00    LONG   2026-05-24 09:00:00    +26.0  OFF(26m)
2026-05-24 08:55:00    SHORT  2026-05-24 08:15:00    +40.0  OFF(40m)
2026-05-24 09:01:00    LONG   2026-05-24 09:00:00    +1.0  OK
2026-05-24 09:37:00    SHORT  2026-05-24 08:15:00    +82.0  OFF(82m)
2026-05-24 09:55:00    LONG   2026-05-24 09:00:00    +55.0  OFF(55m)
2026-05-24 10:28:00    SHORT  2026-05-24 08:15:00    +133.0  OFF(133m)
2026-05-24 10:37:00    LONG   2026-05-24 09:00:00    +97.0  OFF(97m)
2026-05-24 11:01:00    SHORT  2026-05-24 13:30:00    +149.0  OFF(149m)
2026-05-24 11:10:00    LONG   2026-05-24 09:00:00    +130.0  OFF(130m)
2026-05-24 11:19:00    SHORT  2026-05-24 13:30:00    +131.0  OFF(131m)
2026-05-24 11:31:00    LONG   2026-05-24 09:00:00    +151.0  OFF(151m)
2026-05-24 11:37:00    SHORT  2026-05-24 13:30:00    +113.0  OFF(113m)
2026-05-24 11:55:00    LONG   2026-05-24 09:00:00    +175.0  OFF(175m)
2026-05-24 12:28:00    SHORT  2026-05-24 13:30:00    +62.0  OFF(62m)
2026-05-24 12:55:00    LONG   2026-05-24 15:00:00    +125.0  OFF(125m)
2026-05-24 13:04:00    SHORT  2026-05-24 13:30:00    +26.0  OFF(26m)
2026-05-24 13:52:00    LONG   2026-05-24 15:00:00    +68.0  OFF(68m)
2026-05-24 14:19:00    SHORT  2026-05-24 13:30:00    +49.0  OFF(49m)
2026-05-24 14:43:00    LONG   2026-05-24 15:00:00    +17.0  OFF(17m)
2026-05-24 15:10:00    SHORT  2026-05-24 13:30:00    +100.0  OFF(100m)
2026-05-24 16:04:00    LONG   2026-05-24 15:00:00    +64.0  OFF(64m)
