交易 #,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,空头出场,2025-10-31 14:30,XS,3834.83,1.0432,3999.931328,-0.56,-0.01,0.01,0.00,-0.56,-0.01,-0.56,0.00
1,空头进场,2025-10-31 14:00,short,3834.29,1.0432,3999.931328,-0.56,-0.01,0.01,0.00,-0.56,-0.01,-0.56,0.00
2,多头出场,2025-11-05 22:00,XL,3371.57,1.1903,3999.776993,13.4,0.34,14.32,0.36,0,0.00,12.84,0.00
2,多头进场,2025-11-05 21:30,long,3360.31,1.1903,3999.776993,13.4,0.34,14.32,0.36,0,0.00,12.84,0.00
3,多头出场,2025-11-06 10:00,XL,3415.91,1.657,5642.71466,17.45,0.31,18.43,0.33,0,0.00,30.29,0.00
3,多头进场,2025-11-06 09:30,long,3405.38,1.657,5642.71466,17.45,0.31,18.43,0.33,0,0.00,30.29,0.00
4,空头出场,2025-11-06 20:30,XS,3374.71,1.1855,4000.102245,-0.62,-0.02,0,0.00,-0.62,-0.02,29.67,0.00
4,空头进场,2025-11-06 20:00,short,3374.19,1.1855,4000.102245,-0.62,-0.02,0,0.00,-0.62,-0.02,29.67,0.00
5,多头出场,2025-11-09 05:30,XL,3402.36,1.1755,3999.979645,-0.51,-0.01,0,0.00,-0.51,-0.01,29.17,0.00
5,多头进场,2025-11-09 05:00,long,3402.79,1.1755,3999.979645,-0.51,-0.01,0,0.00,-0.51,-0.01,29.17,0.00
6,多头出场,2025-11-12 17:30,XL,3488.1,2.8399,9889.128179,16.73,0.17,17.95,0.18,-0.03,0.00,45.89,0.00
6,多头进场,2025-11-12 17:00,long,3482.21,2.8399,9889.128179,16.73,0.17,17.95,0.18,-0.03,0.00,45.89,0.00
7,空头出场,2025-11-12 23:30,XS,3482.46,4.3081,15000.45955,-2.33,-0.02,0,0.00,-2.33,-0.02,43.57,0.00
7,空头进场,2025-11-12 23:00,short,3481.92,4.3081,15000.45955,-2.33,-0.02,0,0.00,-2.33,-0.02,43.57,0.00
8,多头出场,2025-11-13 11:30,XL,3449.98,1.7264,5957.11584,-1.07,-0.02,0,0.00,-1.07,-0.02,42.5,0.00
8,多头进场,2025-11-13 11:00,long,3450.6,1.7264,5957.11584,-1.07,-0.02,0,0.00,-1.07,-0.02,42.5,0.00
9,空头出场,2025-11-15 11:30,XS,3168.32,1.256,3999.90784,20.5,0.51,21.48,0.54,-0.94,-0.02,62.99,0.01
9,空头进场,2025-11-15 11:00,short,3184.64,1.256,3999.90784,20.5,0.51,21.48,0.54,-0.94,-0.02,62.99,0.01
10,多头出场,2025-11-16 01:00,XL,3185.88,4.7078,15000.65145,-2.17,-0.01,0.05,0.00,-2.17,-0.01,60.83,0.01
10,多头进场,2025-11-16 00:30,long,3186.34,4.7078,15000.65145,-2.17,-0.01,0.05,0.00,-2.17,-0.01,60.83,0.01
11,空头出场,2025-11-18 20:30,XS,3042.26,1.3444,4096.79012,6.78,0.17,7.65,0.19,0,0.00,67.6,0.01
11,空头进场,2025-11-18 20:00,short,3047.3,1.3444,4096.79012,6.78,0.17,7.65,0.19,0,0.00,67.6,0.01
12,空头出场,2025-11-19 11:30,XS,3070.13,2.6002,8041.092498,58.14,0.72,59.54,0.74,0,0.00,125.74,0.01
12,空头进场,2025-11-19 11:00,short,3092.49,2.6002,8041.092498,58.14,0.72,59.54,0.74,0,0.00,125.74,0.01
13,多头出场,2025-11-19 20:30,XL,3092.24,1.3546,4189.412058,-0.66,-0.02,0,0.00,-0.66,-0.02,125.08,0.01
13,多头进场,2025-11-19 20:00,long,3092.73,1.3546,4189.412058,-0.66,-0.02,0,0.00,-0.66,-0.02,125.08,0.01
14,多头出场,2025-11-20 13:00,XL,3063.01,1.4343,4380.366543,12.91,0.29,13.77,0.31,0,0.00,137.99,0.01
14,多头进场,2025-11-20 12:30,long,3054.01,1.4343,4380.366543,12.91,0.29,13.77,0.31,0,0.00,137.99,0.01
15,空头出场,2025-11-20 17:30,XS,3014.48,1.8126,5463.140148,-0.91,-0.02,0.02,0.00,-0.91,-0.02,137.08,0.01
15,空头进场,2025-11-20 17:00,short,3013.98,1.8126,5463.140148,-0.91,-0.02,0.02,0.00,-0.91,-0.02,137.08,0.01
16,空头出场,2025-11-20 20:30,XS,3015.48,1.3247,4000.32906,5.72,0.14,6.36,0.16,-0.01,0.00,142.81,0.01
16,空头进场,2025-11-20 20:00,short,3019.8,1.3247,4000.32906,5.72,0.14,6.36,0.16,-0.01,0.00,142.81,0.01
17,多头出场,2025-11-24 02:30,XL,2803.09,3.0977,8684.370973,-1.24,-0.01,0,0.00,-1.24,-0.01,141.57,0.01
17,多头进场,2025-11-24 02:00,long,2803.49,3.0977,8684.370973,-1.24,-0.01,0,0.00,-1.24,-0.01,141.57,0.01
18,空头出场,2025-11-25 16:00,XS,2898.21,3.2188,9343.436076,14.68,0.16,16,0.17,0,0.00,156.24,0.02
18,空头进场,2025-11-25 15:30,short,2902.77,3.2188,9343.436076,14.68,0.16,16,0.17,0,0.00,156.24,0.02
19,多头出场,2025-11-25 20:30,XL,2920.36,4.4758,13072.69285,-1.75,-0.01,0,0.00,-1.75,-0.01,154.5,0.02
19,多头进场,2025-11-25 20:00,long,2920.75,4.4758,13072.69285,-1.75,-0.01,0,0.00,-1.75,-0.01,154.5,0.02
20,空头出场,2025-11-28 07:00,XS,3010.61,1.3287,4000.609404,0.41,0.01,0.8,0.02,0,0.00,154.91,0.02
20,空头进场,2025-11-28 06:30,short,3010.92,1.3287,4000.609404,0.41,0.01,0.8,0.02,0,0.00,154.91,0.02
21,多头出场,2025-11-28 13:00,XL,3017.13,2.6445,7979.5143,-0.71,-0.01,0,0.00,-0.71,-0.01,154.2,0.02
21,多头进场,2025-11-28 12:30,long,3017.4,2.6445,7979.5143,-0.71,-0.01,0,0.00,-0.71,-0.01,154.2,0.02
22,多头出场,2025-12-04 23:30,XL,3173.12,4.0402,12821.89792,-1.86,-0.01,0,0.00,-1.86,-0.01,152.34,0.02
22,多头进场,2025-12-04 23:00,long,3173.58,4.0402,12821.89792,-1.86,-0.01,0,0.00,-1.86,-0.01,152.34,0.02
23,多头出场,2025-12-05 14:30,XL,3169.56,4.4043,13943.96976,15.72,0.11,17.57,0.13,0,0.00,168.06,0.02
23,多头进场,2025-12-05 14:00,long,3165.99,4.4043,13943.96976,15.72,0.11,17.57,0.13,0,0.00,168.06,0.02
24,多头出场,2025-12-15 10:00,XL,3108.14,4.8262,15002.43575,-1.93,-0.01,0,0.00,-1.93,-0.01,166.13,0.02
24,多头进场,2025-12-15 09:30,long,3108.54,4.8262,15002.43575,-1.93,-0.01,0,0.00,-1.93,-0.01,166.13,0.02
25,空头出场,2025-12-17 11:30,XS,2951.37,4.6797,13809.60751,-1.92,-0.01,0,0.00,-1.92,-0.01,164.21,0.02
25,空头进场,2025-12-17 11:00,short,2950.96,4.6797,13809.60751,-1.92,-0.01,0,0.00,-1.92,-0.01,164.21,0.02
26,多头出场,2025-12-19 11:30,XL,2934.45,5.1536,15002.28421,120.7,0.80,123.53,0.82,0,0.00,284.91,0.03
26,多头进场,2025-12-19 11:00,long,2911.03,5.1536,15002.28421,120.7,0.80,123.53,0.82,0,0.00,284.91,0.03
27,多头出场,2025-12-21 07:00,XL,2978.66,1.5343,4568.178791,1.98,0.04,2.22,0.05,0,0.00,286.89,0.03
27,多头进场,2025-12-21 06:30,long,2977.37,1.5343,4568.178791,1.98,0.04,2.22,0.05,0,0.00,286.89,0.03
28,多头出场,2025-12-21 14:30,XL,2977.79,3.0542,9090.948468,3.82,0.04,4.25,0.05,0,0.00,290.71,0.03
28,多头进场,2025-12-21 14:00,long,2976.54,3.0542,9090.948468,3.82,0.04,4.25,0.05,0,0.00,290.71,0.03
29,多头出场,2025-12-23 08:30,XL,3019.31,1.325,4001.076,-0.49,-0.01,0,0.00,-0.49,-0.01,290.22,0.03
