交易 #,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2025-10-29 16:30,XL,4007.86,0.497,1999.59998,-7.69,-0.38,6.67,0.33,-7.69,-0.38,-7.69,0.00
1,多头进场,2025-10-29 13:00,long,4023.34,0.497,1999.59998,-7.69,-0.38,6.67,0.33,-7.69,-0.38,-7.69,0.00
2,多头出场,2025-10-29 21:30,XL,4004.26,0.4979,1999.989615,-6.27,-0.31,6.69,0.33,-6.27,-0.31,-13.96,0.00
2,多头进场,2025-10-29 20:30,long,4016.85,0.4979,1999.989615,-6.27,-0.31,6.69,0.33,-6.27,-0.31,-13.96,0.00
3,多头出场,2025-10-30 02:30,XL,3980.93,0.4982,1999.89935,-16.6,-0.83,2.06,0.10,-16.6,-0.83,-30.56,0.00
3,多头进场,2025-10-30 01:30,long,4014.25,0.4982,1999.89935,-16.6,-0.83,2.06,0.10,-16.6,-0.83,-30.56,0.00
4,多头出场,2025-10-30 12:00,XL,3910.82,0.507,1999.96797,-17.18,-0.86,2.24,0.11,-17.18,-0.86,-47.74,0.00
4,多头进场,2025-10-30 10:00,long,3944.71,0.507,1999.96797,-17.18,-0.86,2.24,0.11,-17.18,-0.86,-47.74,0.00
5,多头出场,2025-10-30 17:00,XL,3898.91,0.5082,1999.726344,-18.3,-0.92,3.56,0.18,-18.3,-0.92,-66.04,-0.01
5,多头进场,2025-10-30 15:00,long,3934.92,0.5082,1999.726344,-18.3,-0.92,3.56,0.18,-18.3,-0.92,-66.04,-0.01
6,多头出场,2025-10-31 08:00,Close entry(s) order long,3809.31,0.5285,1999.764725,13.46,0.67,16.04,0.80,-5.12,-0.26,-52.59,-0.01
6,多头进场,2025-10-31 06:30,long,3783.85,0.5285,1999.764725,13.46,0.67,16.04,0.80,-5.12,-0.26,-52.59,-0.01
7,空头出场,2025-10-31 22:00,XS,3869.12,0.5214,1999.991334,-17.37,-0.87,1.95,0.10,-18.89,-0.94,-69.96,-0.01
7,空头进场,2025-10-31 20:30,short,3835.81,0.5214,1999.991334,-17.37,-0.87,1.95,0.10,-18.89,-0.94,-69.96,-0.01
8,空头出场,2025-11-01 02:30,XS,3845.44,0.5232,1999.911072,-12.02,-0.60,8.28,0.41,-12.02,-0.60,-81.98,-0.01
8,空头进场,2025-11-01 00:30,short,3822.46,0.5232,1999.911072,-12.02,-0.60,8.28,0.41,-12.02,-0.60,-81.98,-0.01
9,空头出场,2025-11-01 12:00,XS,3863.73,0.5191,1999.72893,-5.93,-0.30,10.73,0.54,-7.27,-0.36,-87.91,-0.01
9,空头进场,2025-11-01 05:00,short,3852.3,0.5191,1999.72893,-5.93,-0.30,10.73,0.54,-7.27,-0.36,-87.91,-0.01
10,空头出场,2025-11-01 16:30,XS,3873.59,0.5188,1999.79242,-9.83,-0.49,1.21,0.06,-9.83,-0.49,-97.74,-0.01
10,空头进场,2025-11-01 13:30,short,3854.65,0.5188,1999.79242,-9.83,-0.49,1.21,0.06,-9.83,-0.49,-97.74,-0.01
11,空头出场,2025-11-01 23:00,XS,3878.66,0.5175,1999.9512,-7.26,-0.36,1.78,0.09,-7.26,-0.36,-104.99,-0.01
11,空头进场,2025-11-01 22:00,short,3864.64,0.5175,1999.9512,-7.26,-0.36,1.78,0.09,-7.26,-0.36,-104.99,-0.01
12,空头出场,2025-11-02 04:00,XS,3882.31,0.517,1999.9628,-7.19,-0.36,3.05,0.15,-7.19,-0.36,-112.19,-0.01
12,空头进场,2025-11-02 01:00,short,3868.4,0.517,1999.9628,-7.19,-0.36,3.05,0.15,-7.19,-0.36,-112.19,-0.01
13,空头出场,2025-11-02 10:30,XS,3883.73,0.5172,1999.950336,-8.71,-0.44,3.07,0.15,-8.71,-0.44,-120.9,-0.01
