交易 #,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2025-10-31 08:30,Close entry(s) order long,3832,0.4971,1999.629489,-94.74,-4.74,6.99,0.35,-170.3,-8.52,-94.74,-0.01
1,多头进场,2025-10-29 13:00,long,4022.59,0.4971,1999.629489,-94.74,-4.74,6.99,0.35,-170.3,-8.52,-94.74,-0.01
2,空头出场,2025-11-02 18:00,Close entry(s) order short,3858.74,0.5213,1999.800634,-11.76,-0.59,16.39,0.82,-42.77,-2.14,-106.5,-0.01
2,空头进场,2025-10-31 20:30,short,3836.18,0.5213,1999.800634,-11.76,-0.59,16.39,0.82,-42.77,-2.14,-106.5,-0.01
3,多头出场,2025-11-03 07:30,Close entry(s) order long,3906.58,0.5139,1999.744209,7.85,0.39,12.83,0.64,-26.82,-1.34,-98.66,-0.01
3,多头进场,2025-11-02 19:30,long,3891.31,0.5139,1999.744209,7.85,0.39,12.83,0.64,-26.82,-1.34,-98.66,-0.01
4,空头出场,2025-11-03 09:00,Close entry(s) order short,3848.51,0.5174,1999.807914,8.59,0.43,12.4,0.62,-0.01,0.00,-90.07,-0.01
4,空头进场,2025-11-03 08:30,short,3865.11,0.5174,1999.807914,8.59,0.43,12.4,0.62,-0.01,0.00,-90.07,-0.01
5,多头出场,2025-11-05 20:00,Close entry(s) order long,3354.74,0.551,1999.78838,-151.33,-7.57,13.86,0.69,-315.38,-15.77,-241.39,-0.02
5,多头进场,2025-11-04 09:00,long,3629.38,0.551,1999.78838,-151.33,-7.57,13.86,0.69,-315.38,-15.77,-241.39,-0.02
6,空头出场,2025-11-06 20:30,Close entry(s) order short,3349.5,0.5875,1999.69725,31.87,1.59,36.02,1.80,-30.97,-1.55,-209.53,-0.02
6,空头进场,2025-11-06 08:00,short,3403.74,0.5875,1999.69725,31.87,1.59,36.02,1.80,-30.97,-1.55,-209.53,-0.02
7,多头出场,2025-11-07 23:00,Close entry(s) order long,3309.66,0.5976,1999.964016,-22.11,-1.11,13.94,0.70,-91.11,-4.56,-231.64,-0.02
7,多头进场,2025-11-07 10:30,long,3346.66,0.5976,1999.964016,-22.11,-1.11,13.94,0.70,-91.11,-4.56,-231.64,-0.02
8,空头出场,2025-11-08 22:00,Close entry(s) order short,3385.72,0.5859,1999.694277,16,0.80,23.39,1.17,-2.67,-0.13,-215.64,-0.02
8,空头进场,2025-11-08 19:30,short,3413.03,0.5859,1999.694277,16,0.80,23.39,1.17,-2.67,-0.13,-215.64,-0.02
9,多头出场,2025-11-09 17:00,Close entry(s) order long,3424.61,0.5877,1999.819683,12.82,0.64,19.01,0.95,-25.94,-1.30,-202.81,-0.02
9,多头进场,2025-11-09 05:00,long,3402.79,0.5877,1999.819683,12.82,0.64,19.01,0.95,-25.94,-1.30,-202.81,-0.02
10,空头出场,2025-11-10 22:30,Close entry(s) order short,3541.62,0.588,1999.77036,-82.7,-4.14,10.95,0.55,-151.71,-7.59,-285.52,-0.03
10,空头进场,2025-11-09 17:30,short,3400.97,0.588,1999.77036,-82.7,-4.14,10.95,0.55,-151.71,-7.59,-285.52,-0.03
11,多头出场,2025-11-11 09:00,Close entry(s) order long,3619.99,0.5608,1999.857664,30.23,1.51,46.09,2.30,-20.56,-1.03,-255.28,-0.03
11,多头进场,2025-11-11 04:00,long,3566.08,0.5608,1999.857664,30.23,1.51,46.09,2.30,-20.56,-1.03,-255.28,-0.03
12,空头出场,2025-11-11 23:00,Close entry(s) order short,3486.66,0.5594,1999.866188,49.43,2.47,49.87,2.49,-10.8,-0.54,-205.85,-0.02
12,空头进场,2025-11-11 12:30,short,3575.02,0.5594,1999.866188,49.43,2.47,49.87,2.49,-10.8,-0.54,-205.85,-0.02
13,多头出场,2025-11-12 18:00,Close entry(s) order long,3510.1,0.5792,1999.989184,33.06,1.65,35.9,1.79,-16.47,-0.82,-172.79,-0.02
13,多头进场,2025-11-12 14:00,long,3453.02,0.5792,1999.989184,33.06,1.65,35.9,1.79,-16.47,-0.82,-172.79,-0.02
14,多头出场,2025-11-13 13:30,Close entry(s) order long,3529.19,0.5823,1999.682253,55.37,2.77,61.66,3.08,-32.86,-1.64,-117.43,-0.01
14,多头进场,2025-11-13 09:00,long,3434.11,0.5823,1999.682253,55.37,2.77,61.66,3.08,-32.86,-1.64,-117.43,-0.01
15,空头出场,2025-11-13 21:30,Close entry(s) order short,3438.18,0.5736,1999.816248,27.68,1.38,34.42,1.72,-18.26,-0.91,-89.75,-0.01
15,空头进场,2025-11-13 17:30,short,3486.43,0.5736,1999.816248,27.68,1.38,34.42,1.72,-18.26,-0.91,-89.75,-0.01
16,多头出场,2025-11-15 00:00,Close entry(s) order long,3237.62,0.625,1999.6875,23.83,1.19,31.56,1.58,-24.29,-1.21,-65.93,-0.01
16,多头进场,2025-11-14 22:30,long,3199.5,0.625,1999.6875,23.83,1.19,31.56,1.58,-24.29,-1.21,-65.93,-0.01
17,空头出场,2025-11-16 08:00,Close entry(s) order short,3150.06,0.6289,1999.700752,18.63,0.93,56.4,2.82,-31.65,-1.58,-47.3,0.00
17,空头进场,2025-11-15 01:30,short,3179.68,0.6289,1999.700752,18.63,0.93,56.4,2.82,-31.65,-1.58,-47.3,0.00
18,多头出场,2025-11-16 10:30,Close entry(s) order long,3203.13,0.6293,1999.9154,15.81,0.79,16.87,0.84,-1.6,-0.08,-31.49,0.00
18,多头进场,2025-11-16 10:00,long,3178,0.6293,1999.9154,15.81,0.79,16.87,0.84,-1.6,-0.08,-31.49,0.00
19,多头出场,2025-11-17 11:00,Close entry(s) order long,3170.25,0.6406,1999.72899,31.13,1.56,37.65,1.88,-8.37,-0.42,-0.35,0.00
19,多头进场,2025-11-17 08:00,long,3121.65,0.6406,1999.72899,31.13,1.56,37.65,1.88,-8.37,-0.42,-0.35,0.00
20,空头出场,2025-11-17 21:30,Close entry(s) order short,3121.95,0.6351,1999.955304,17.2,0.86,34.26,1.71,-4.26,-0.21,16.85,0.00
20,空头进场,2025-11-17 21:00,short,3149.04,0.6351,1999.955304,17.2,0.86,34.26,1.71,-4.26,-0.21,16.85,0.00
21,多头出场,2025-11-18 23:00,Close entry(s) order long,3109.23,0.6612,1999.759728,56.06,2.80,62.52,3.13,-1.55,-0.08,72.92,0.01
21,多头进场,2025-11-18 15:30,long,3024.44,0.6612,1999.759728,56.06,2.80,62.52,3.13,-1.55,-0.08,72.92,0.01
22,空头出场,2025-11-19 12:30,Close entry(s) order short,3048.57,0.6455,1999.920375,32.07,1.60,33.85,1.69,-20.35,-1.02,104.98,0.01
22,空头进场,2025-11-19 05:30,short,3098.25,0.6455,1999.920375,32.07,1.60,33.85,1.69,-20.35,-1.02,104.98,0.01
23,空头出场,2025-11-19 22:00,Close entry(s) order short,3027.52,0.6526,1999.964486,24.2,1.21,26.57,1.33,-31.29,-1.56,129.19,0.01
23,空头进场,2025-11-19 17:00,short,3064.61,0.6526,1999.964486,24.2,1.21,26.57,1.33,-31.29,-1.56,129.19,0.01
24,空头出场,2025-11-20 23:30,Close entry(s) order short,2955.68,0.6635,1999.77573,38.68,1.93,40.86,2.04,-23.62,-1.18,167.87,0.02
24,空头进场,2025-11-20 17:00,short,3013.98,0.6635,1999.77573,38.68,1.93,40.86,2.04,-23.62,-1.18,167.87,0.02
25,多头出场,2025-11-22 01:00,Close entry(s) order long,2794.46,0.7219,1999.915665,17.41,0.87,26.34,1.32,-68.83,-3.44,185.28,0.02
25,多头进场,2025-11-21 22:30,long,2770.35,0.7219,1999.915665,17.41,0.87,26.34,1.32,-68.83,-3.44,185.28,0.02
26,空头出场,2025-11-24 08:00,Close entry(s) order short,2784.78,0.7278,1999.92162,-26.84,-1.34,31.71,1.59,-80.25,-4.01,158.43,0.02
26,空头进场,2025-11-22 02:00,short,2747.9,0.7278,1999.92162,-26.84,-1.34,31.71,1.59,-80.25,-4.01,158.43,0.02
27,空头出场,2025-11-25 16:30,Close entry(s) order short,2871.7,0.7106,1999.870004,-40.76,-2.04,20.82,1.04,-122.69,-6.14,117.67,0.01
27,空头进场,2025-11-24 12:00,short,2814.34,0.7106,1999.870004,-40.76,-2.04,20.82,1.04,-122.69,-6.14,117.67,0.01
28,多头出场,2025-11-26 00:00,Close entry(s) order long,2929.87,0.6847,1999.837525,6.24,0.31,9.07,0.45,-43.43,-2.17,123.92,0.01
28,多头进场,2025-11-25 20:00,long,2920.75,0.6847,1999.837525,6.24,0.31,9.07,0.45,-43.43,-2.17,123.92,0.01
29,空头出场,2025-11-28 09:00,Close entry(s) order short,3001.76,0.6931,1999.752913,-80.77,-4.04,1.89,0.09,-129.01,-6.45,43.15,0.00
29,空头进场,2025-11-26 03:00,short,2885.23,0.6931,1999.752913,-80.77,-4.04,1.89,0.09,-129.01,-6.45,43.15,0.00
30,多头出场,2025-11-28 16:30,Close entry(s) order long,3065.24,0.6628,1999.93272,31.71,1.59,40.01,2.00,-11.07,-0.55,74.86,0.01
30,多头进场,2025-11-28 12:30,long,3017.4,0.6628,1999.93272,31.71,1.59,40.01,2.00,-11.07,-0.55,74.86,0.01
31,空头出场,2025-11-29 14:00,Close entry(s) order short,3014.72,0.6601,1999.786152,9.77,0.49,12.08,0.60,-20.12,-1.01,84.63,0.01
31,空头进场,2025-11-29 00:00,short,3029.52,0.6601,1999.786152,9.77,0.49,12.08,0.60,-20.12,-1.01,84.63,0.01
32,多头出场,2025-11-30 18:00,Close entry(s) order long,3011.15,0.665,1999.92765,2.49,0.12,7.36,0.37,-30.26,-1.51,87.12,0.01
32,多头进场,2025-11-29 23:30,long,3007.41,0.665,1999.92765,2.49,0.12,7.36,0.37,-30.26,-1.51,87.12,0.01
33,空头出场,2025-12-01 07:30,Close entry(s) order short,2991.26,0.6616,1999.924176,20.91,1.05,22.36,1.12,-9.18,-0.46,108.02,0.01
33,空头进场,2025-12-01 05:00,short,3022.86,0.6616,1999.924176,20.91,1.05,22.36,1.12,-9.18,-0.46,108.02,0.01
34,多头出场,2025-12-02 07:00,Close entry(s) order long,2812.88,0.7183,1999.7472,20.74,1.04,21.65,1.08,0,0.00,128.77,0.01
34,多头进场,2025-12-02 05:00,long,2784,0.7183,1999.7472,20.74,1.04,21.65,1.08,0,0.00,128.77,0.01
35,空头出场,2025-12-05 02:30,Close entry(s) order short,3141.27,0.7165,1999.730005,-250.99,-12.55,6.29,0.31,-321.98,-16.10,-122.22,-0.01
35,空头进场,2025-12-02 11:00,short,2790.97,0.7165,1999.730005,-250.99,-12.55,6.29,0.31,-321.98,-16.10,-122.22,-0.01
36,多头出场,2025-12-06 22:30,Close entry(s) order long,3055.11,0.6319,1999.988776,-69.46,-3.47,17.88,0.89,-114.98,-5.75,-191.69,-0.02
36,多头进场,2025-12-05 09:00,long,3165.04,0.6319,1999.988776,-69.46,-3.47,17.88,0.89,-114.98,-5.75,-191.69,-0.02
37,空头出场,2025-12-07 22:00,Close entry(s) order short,2940,0.6589,1999.919636,62.75,3.14,84.15,4.21,-20.68,-1.03,-128.93,-0.01
37,空头进场,2025-12-06 23:00,short,3035.24,0.6589,1999.919636,62.75,3.14,84.15,4.21,-20.68,-1.03,-128.93,-0.01
38,空头出场,2025-12-08 06:00,Close entry(s) order short,3045.77,0.6628,1999.793532,-18.94,-0.95,4.31,0.22,-88.03,-4.40,-147.88,-0.01
38,空头进场,2025-12-08 00:00,short,3017.19,0.6628,1999.793532,-18.94,-0.95,4.31,0.22,-88.03,-4.40,-147.88,-0.01
39,多头出场,2025-12-08 16:30,Close entry(s) order long,3143.77,0.6442,1999.860922,25.36,1.27,27.2,1.36,-7.74,-0.39,-122.52,-0.01
39,多头进场,2025-12-08 09:00,long,3104.41,0.6442,1999.860922,25.36,1.27,27.2,1.36,-7.74,-0.39,-122.52,-0.01
40,空头出场,2025-12-08 23:30,Close entry(s) order short,3101.54,0.6392,1999.730808,17.23,0.86,25.35,1.27,-6.81,-0.34,-105.29,-0.01
40,空头进场,2025-12-08 22:30,short,3128.49,0.6392,1999.730808,17.23,0.86,25.35,1.27,-6.81,-0.34,-105.29,-0.01
41,多头出场,2025-12-09 23:00,Close entry(s) order long,3155.34,0.6396,1999.978032,18.18,0.91,26.55,1.33,-23.1,-1.16,-87.12,-0.01
41,多头进场,2025-12-09 04:00,long,3126.92,0.6396,1999.978032,18.18,0.91,26.55,1.33,-23.1,-1.16,-87.12,-0.01
42,空头出场,2025-12-11 08:00,Close entry(s) order short,3310.76,0.6037,1999.671732,0.97,0.05,9.28,0.46,-81.55,-4.08,-86.15,-0.01
42,空头进场,2025-12-10 18:30,short,3312.36,0.6037,1999.671732,0.97,0.05,9.28,0.46,-81.55,-4.08,-86.15,-0.01
43,多头出场,2025-12-12 05:00,Close entry(s) order long,3258.25,0.6246,1999.794312,35.31,1.77,39.87,1.99,-9.59,-0.48,-50.84,-0.01
43,多头进场,2025-12-12 02:00,long,3201.72,0.6246,1999.794312,35.31,1.77,39.87,1.99,-9.59,-0.48,-50.84,-0.01
44,空头出场,2025-12-12 23:00,Close entry(s) order short,3152.81,0.6271,1999.972404,22.85,1.14,22.88,1.14,-47.82,-2.39,-28,0.00
44,空头进场,2025-12-12 08:30,short,3189.24,0.6271,1999.972404,22.85,1.14,22.88,1.14,-47.82,-2.39,-28,0.00
45,空头出场,2025-12-14 19:00,Close entry(s) order short,3093.79,0.6454,1999.881618,3.15,0.16,12.7,0.63,-19.92,-1.00,-24.85,0.00
45,空头进场,2025-12-13 21:00,short,3098.67,0.6454,1999.881618,3.15,0.16,12.7,0.63,-19.92,-1.00,-24.85,0.00
46,多头出场,2025-12-15 10:00,Close entry(s) order long,3134.67,0.6451,1999.835804,22.34,1.12,32.82,1.64,-48.77,-2.44,-2.51,0.00
46,多头进场,2025-12-15 00:00,long,3100.04,0.6451,1999.835804,22.34,1.12,32.82,1.64,-48.77,-2.44,-2.51,0.00
47,空头出场,2025-12-15 22:30,Close entry(s) order short,3048.72,0.6385,1999.89693,53.29,2.66,63.8,3.19,-9.41,-0.47,50.78,0.01
47,空头进场,2025-12-15 21:30,short,3132.18,0.6385,1999.89693,53.29,2.66,63.8,3.19,-9.41,-0.47,50.78,0.01
48,多头出场,2025-12-17 22:30,Close entry(s) order long,2995.89,0.6784,1999.909632,32.5,1.63,33.19,1.66,-41.54,-2.08,83.28,0.01
48,多头进场,2025-12-16 18:30,long,2947.98,0.6784,1999.909632,32.5,1.63,33.19,1.66,-41.54,-2.08,83.28,0.01
49,多头出场,2025-12-18 20:30,Close entry(s) order long,2871.25,0.7032,1999.893768,19.17,0.96,21.8,1.09,-6.52,-0.33,102.45,0.01
49,多头进场,2025-12-18 16:00,long,2843.99,0.7032,1999.893768,19.17,0.96,21.8,1.09,-6.52,-0.33,102.45,0.01
50,空头出场,2025-12-21 10:30,Close entry(s) order short,2965.72,0.6802,1999.788,-17.49,-0.87,1.58,0.08,-42.87,-2.14,84.96,0.01
50,空头进场,2025-12-20 01:30,short,2940,0.6802,1999.788,-17.49,-0.87,1.58,0.08,-42.87,-2.14,84.96,0.01
51,多头出场,2025-12-21 16:30,Close entry(s) order long,2992.12,0.6716,1999.715864,9.79,0.49,14.73,0.74,-3.05,-0.15,94.75,0.01
51,多头进场,2025-12-21 12:00,long,2977.54,0.6716,1999.715864,9.79,0.49,14.73,0.74,-3.05,-0.15,94.75,0.01
52,多头出场,2025-12-22 06:30,Close entry(s) order long,2996.32,0.6697,1999.771079,6.86,0.34,7.96,0.40,-12.28,-0.61,101.62,0.01
52,多头进场,2025-12-22 00:30,long,2986.07,0.6697,1999.771079,6.86,0.34,7.96,0.40,-12.28,-0.61,101.62,0.01
53,空头出场,2025-12-23 02:30,Close entry(s) order short,3015.74,0.6572,1999.8596,17.92,0.90,23.15,1.16,-0.92,-0.05,119.53,0.01
53,空头进场,2025-12-23 00:30,short,3043,0.6572,1999.8596,17.92,0.90,23.15,1.16,-0.92,-0.05,119.53,0.01
54,多头出场,2025-12-25 06:30,Close entry(s) order long,2959.84,0.6623,1999.934064,-39.63,-1.98,10.67,0.53,-86.75,-4.34,79.9,0.01
54,多头进场,2025-12-23 08:00,long,3019.68,0.6623,1999.934064,-39.63,-1.98,10.67,0.53,-86.75,-4.34,79.9,0.01
55,空头出场,2025-12-25 18:00,Close entry(s) order short,2920.88,0.6804,1999.960956,12.59,0.63,16.25,0.81,-11.91,-0.60,92.49,0.01
55,空头进场,2025-12-25 08:30,short,2939.39,0.6804,1999.960956,12.59,0.63,16.25,0.81,-11.91,-0.60,92.49,0.01
56,多头出场,2025-12-25 23:00,Close entry(s) order long,2949.85,0.6819,1999.903596,11.6,0.58,15.6,0.78,-0.83,-0.04,104.09,0.01
56,多头进场,2025-12-25 22:30,long,2932.84,0.6819,1999.903596,11.6,0.58,15.6,0.78,-0.83,-0.04,104.09,0.01
