交易 #,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2025-04-04 10:00,short,1788.23,2,3597.1,-20.64,-0.57,47.42,1.32,-52.72,-1.47,-20.64,-0.02
1,多头进场,2025-04-04 04:00,long,1798.55,2,3597.1,-20.64,-0.57,47.42,1.32,-52.72,-1.47,-20.64,-0.02
2,空头出场,2025-04-04 13:00,long,1805.57,2,3576.46,-34.68,-0.97,12.12,0.34,-35.16,-0.98,-55.32,-0.06
2,空头进场,2025-04-04 10:00,short,1788.23,2,3576.46,-34.68,-0.97,12.12,0.34,-35.16,-0.98,-55.32,-0.06
3,多头出场,2025-04-04 19:00,short,1783.34,2,3611.14,-44.46,-1.23,58.26,1.61,-93.84,-2.60,-99.78,-0.10
3,多头进场,2025-04-04 13:00,long,1805.57,2,3611.14,-44.46,-1.23,58.26,1.61,-93.84,-2.60,-99.78,-0.10
4,空头出场,2025-04-05 01:00,long,1820.34,2,3566.68,-74,-2.07,28.82,0.81,-89.5,-2.51,-173.78,-0.17
4,空头进场,2025-04-04 19:00,short,1783.34,2,3566.68,-74,-2.07,28.82,0.81,-89.5,-2.51,-173.78,-0.17
5,多头出场,2025-04-05 13:00,short,1809.46,2,3640.68,-21.76,-0.60,12.72,0.35,-37.64,-1.03,-195.54,-0.20
5,多头进场,2025-04-05 01:00,long,1820.34,2,3640.68,-21.76,-0.60,12.72,0.35,-37.64,-1.03,-195.54,-0.20
6,空头出场,2025-04-05 16:00,long,1813.22,2,3618.92,-7.52,-0.21,11.42,0.32,-10.08,-0.28,-203.06,-0.20
6,空头进场,2025-04-05 13:00,short,1809.46,2,3618.92,-7.52,-0.21,11.42,0.32,-10.08,-0.28,-203.06,-0.20
7,多头出场,2025-04-05 19:00,short,1806.77,2,3626.44,-12.9,-0.36,16.38,0.45,-13.98,-0.39,-215.96,-0.22
7,多头进场,2025-04-05 16:00,long,1813.22,2,3626.44,-12.9,-0.36,16.38,0.45,-13.98,-0.39,-215.96,-0.22
8,空头出场,2025-04-06 07:00,long,1805.31,2,3613.54,2.92,0.08,79.74,2.21,-5.3,-0.15,-213.04,-0.21
8,空头进场,2025-04-05 19:00,short,1806.77,2,3613.54,2.92,0.08,79.74,2.21,-5.3,-0.15,-213.04,-0.21
9,多头出场,2025-04-06 16:00,short,1794.68,2,3610.62,-21.26,-0.59,21.34,0.59,-44.66,-1.24,-234.3,-0.23
