交易 #,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,空头出场,2025-10-31 19:30,long,3874.01,0.5004,1999.908648,61.35,3.07,158.44,7.92,-16.41,-0.82,61.35,0.01
1,空头进场,2025-10-29 17:00,short,3996.62,0.5004,1999.908648,61.35,3.07,158.44,7.92,-16.41,-0.82,61.35,0.01
2,多头出场,2025-10-31 20:30,short,3836.18,0.5162,1999.763962,-19.53,-0.98,7.22,0.36,-20.38,-1.02,41.83,0.00
2,多头进场,2025-10-31 19:30,long,3874.01,0.5162,1999.763962,-19.53,-0.98,7.22,0.36,-20.38,-1.02,41.83,0.00
3,空头出场,2025-10-31 21:30,long,3860.44,0.5213,1999.800634,-12.65,-0.63,2.21,0.11,-19.9,-1.00,29.18,0.00
3,空头进场,2025-10-31 20:30,short,3836.18,0.5213,1999.800634,-12.65,-0.63,2.21,0.11,-19.9,-1.00,29.18,0.00
4,多头出场,2025-11-02 05:30,short,3867.68,0.518,1999.70792,3.75,0.19,25.36,1.27,-28.85,-1.44,32.93,0.00
4,多头进场,2025-10-31 21:30,long,3860.44,0.518,1999.70792,3.75,0.19,25.36,1.27,-28.85,-1.44,32.93,0.00
5,空头出场,2025-11-02 10:00,long,3875.28,0.5171,1999.977328,-3.93,-0.20,3.09,0.15,-5.2,-0.26,29,0.00
5,空头进场,2025-11-02 05:30,short,3867.68,0.5171,1999.977328,-3.93,-0.20,3.09,0.15,-5.2,-0.26,29,0.00
6,多头出场,2025-11-03 09:00,short,3848.51,0.516,1999.64448,-13.81,-0.69,22.16,1.11,-18.66,-0.93,15.19,0.00
6,多头进场,2025-11-02 10:00,long,3875.28,0.516,1999.64448,-13.81,-0.69,22.16,1.11,-18.66,-0.93,15.19,0.00
7,空头出场,2025-11-06 11:00,long,3432.12,0.5196,1999.685796,216.36,10.82,411.27,20.57,-2.11,-0.11,231.54,0.02
