Trade number,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,Net PnL USDT,Net PnL %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,Cumulative PnL USDT,Cumulative PnL %
1,空头出场,2025-11-01 10:15,VltClsLE,3846.6,1,3848.72,2.12,0.06,12.05,0.31,0,0.00,2.12,0.00
1,空头进场,2025-11-01 09:30,VltClsSE,3848.72,1,3848.72,2.12,0.06,12.05,0.31,0,0.00,2.12,0.00
2,多头出场,2025-11-01 10:30,VltClsSE,3839.54,1,3846.6,-7.06,-0.18,2,0.05,-7.06,-0.18,-4.94,0.00
2,多头进场,2025-11-01 10:15,VltClsLE,3846.6,1,3846.6,-7.06,-0.18,2,0.05,-7.06,-0.18,-4.94,0.00
3,空头出场,2025-11-01 10:45,VltClsLE,3853.92,1,3839.54,-14.38,-0.37,0.58,0.02,-14.38,-0.37,-19.32,0.00
3,空头进场,2025-11-01 10:30,VltClsSE,3839.54,1,3839.54,-14.38,-0.37,0.58,0.02,-14.38,-0.37,-19.32,0.00
4,多头出场,2025-11-01 12:15,VltClsSE,3855.98,1,3853.92,2.06,0.05,14.93,0.39,-2.4,-0.06,-17.26,0.00
4,多头进场,2025-11-01 10:45,VltClsLE,3853.92,1,3853.92,2.06,0.05,14.93,0.39,-2.4,-0.06,-17.26,0.00
5,空头出场,2025-11-01 14:30,VltClsLE,3859.95,1,3855.98,-3.97,-0.10,3.02,0.08,-13.57,-0.35,-21.23,0.00
5,空头进场,2025-11-01 12:15,VltClsSE,3855.98,1,3855.98,-3.97,-0.10,3.02,0.08,-13.57,-0.35,-21.23,0.00
6,多头出场,2025-11-01 15:30,VltClsSE,3860.24,1,3859.95,0.29,0.01,7.46,0.19,-6.83,-0.18,-20.94,0.00
6,多头进场,2025-11-01 14:30,VltClsLE,3859.95,1,3859.95,0.29,0.01,7.46,0.19,-6.83,-0.18,-20.94,0.00
7,空头出场,2025-11-01 16:00,VltClsLE,3865.8,1,3860.24,-5.56,-0.14,1.22,0.03,-5.56,-0.14,-26.5,0.00
7,空头进场,2025-11-01 15:30,VltClsSE,3860.24,1,3860.24,-5.56,-0.14,1.22,0.03,-5.56,-0.14,-26.5,0.00
8,多头出场,2025-11-01 17:00,VltClsSE,3876.12,1,3865.8,10.32,0.27,17.14,0.44,-4.47,-0.12,-16.18,0.00
8,多头进场,2025-11-01 16:00,VltClsLE,3865.8,1,3865.8,10.32,0.27,17.14,0.44,-4.47,-0.12,-16.18,0.00
9,空头出场,2025-11-01 18:30,VltClsLE,3878.48,1,3876.12,-2.36,-0.06,4.1,0.11,-5.74,-0.15,-18.54,0.00
9,空头进场,2025-11-01 17:00,VltClsSE,3876.12,1,3876.12,-2.36,-0.06,4.1,0.11,-5.74,-0.15,-18.54,0.00
10,多头出场,2025-11-01 19:15,VltClsSE,3874.27,1,3878.48,-4.21,-0.11,3.53,0.09,-4.21,-0.11,-22.75,0.00
10,多头进场,2025-11-01 18:30,VltClsLE,3878.48,1,3878.48,-4.21,-0.11,3.53,0.09,-4.21,-0.11,-22.75,0.00
11,空头出场,2025-11-01 19:30,VltClsLE,3876.83,1,3874.27,-2.56,-0.07,5.44,0.14,-2.56,-0.07,-25.31,0.00
11,空头进场,2025-11-01 19:15,VltClsSE,3874.27,1,3874.27,-2.56,-0.07,5.44,0.14,-2.56,-0.07,-25.31,0.00
12,多头出场,2025-11-01 20:45,VltClsSE,3876.02,1,3876.83,-0.81,-0.02,4.17,0.11,-2.34,-0.06,-26.12,0.00
12,多头进场,2025-11-01 19:30,VltClsLE,3876.83,1,3876.83,-0.81,-0.02,4.17,0.11,-2.34,-0.06,-26.12,0.00
13,空头出场,2025-11-01 21:45,VltClsLE,3868.41,1,3876.02,7.61,0.20,17.91,0.46,-3.18,-0.08,-18.51,0.00
13,空头进场,2025-11-01 20:45,VltClsSE,3876.02,1,3876.02,7.61,0.20,17.91,0.46,-3.18,-0.08,-18.51,0.00
14,多头出场,2025-11-01 22:00,VltClsSE,3863.85,1,3868.41,-4.56,-0.12,5.28,0.14,-4.56,-0.12,-23.07,0.00
14,多头进场,2025-11-01 21:45,VltClsLE,3868.41,1,3868.41,-4.56,-0.12,5.28,0.14,-4.56,-0.12,-23.07,0.00
15,空头出场,2025-11-01 22:30,VltClsLE,3874.04,1,3863.85,-10.19,-0.26,5.41,0.14,-10.19,-0.26,-33.26,0.00
15,空头进场,2025-11-01 22:00,VltClsSE,3863.85,1,3863.85,-10.19,-0.26,5.41,0.14,-10.19,-0.26,-33.26,0.00
16,多头出场,2025-11-01 23:15,VltClsSE,3882.07,1,3874.04,8.03,0.21,27.96,0.72,-5.61,-0.14,-25.23,0.00
16,多头进场,2025-11-01 22:30,VltClsLE,3874.04,1,3874.04,8.03,0.21,27.96,0.72,-5.61,-0.14,-25.23,0.00
17,空头出场,2025-11-02 00:00,VltClsLE,3906.69,1,3882.07,-24.62,-0.63,1.24,0.03,-24.62,-0.63,-49.85,0.00
